ZipCode,City,County,State,CountyFIPS,StateFIPS,TimeZone,DayLightSavings,ZipLatitude,ZipLongitude
00501,HOLTSVILLE,SUFFOLK,NY,103,36,-5,Y,40.815400,-73.045600
00544,HOLTSVILLE,SUFFOLK,NY,103,36,-5,Y,40.815400,-73.045600
06390,FISHERS ISLAND,SUFFOLK,NY,103,36,-5,Y,41.270904,-71.980214
10001,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.750800,-73.996122
10002,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.722296,-73.985506
10003,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.731392,-73.988400
10004,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.695383,-74.026525
10005,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.706172,-74.008596
10006,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.707932,-74.013335
10007,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.714216,-74.008168
10008,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.714400,-74.006500
10009,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.726980,-73.980115
10010,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.738634,-73.982937
10011,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.744060,-74.004592
10012,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.725568,-73.998208
10013,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.720921,-74.008878
10014,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.734332,-74.010112
10016,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.744594,-73.978088
10017,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.752516,-73.973072
10018,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.755256,-73.996684
10019,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.767192,-73.991810
10020,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.758908,-73.979020
10021,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.769831,-73.958514
10022,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.758346,-73.967997
10023,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.773726,-73.980067
10024,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.797364,-73.977850
10025,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.798345,-73.963158
10026,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.804050,-73.952833
10027,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.812908,-73.953194
10028,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.776127,-73.952597
10029,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.791708,-73.943319
10030,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.818433,-73.942274
10031,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.826904,-73.949593
10032,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.834790,-73.949315
10033,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.858549,-73.939550
10034,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.870285,-73.924245
10035,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.795273,-73.930107
10036,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.759477,-73.989871
10037,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.813732,-73.938243
10038,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.708786,-74.003216
10039,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.827990,-73.938908
10040,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.856940,-73.928491
10041,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.703119,-74.010022
10043,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.714300,-74.006700
10044,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.761173,-73.950806
10045,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.710600,-74.015600
10055,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.757900,-73.974300
10060,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.743100,-73.991500
10065,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.764253,-73.962466
10069,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.775925,-73.990202
10075,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.773550,-73.955621
10080,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.714300,-74.006700
10081,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.714300,-74.006700
10087,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.714300,-74.006700
10090,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.710800,-74.000100
10101,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.714300,-74.006700
10102,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.714300,-74.006700
10103,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.760912,-73.977862
10104,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.761100,-73.977700
10105,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.764400,-73.978000
10106,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.766800,-73.982200
10107,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.765900,-73.981400
10108,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.714300,-74.006700
